CategoryName,CategoryName
Salon / Barbershop,41
Cafe,39
Pizza Place,36
Bus Station,35
Park,31
Gas Station,28
Bakery,28
Office,26
Medical Center,25
Doctor's Office,25
Playground,25
Bank,24
Miscellaneous Shop,24
Automotive Shop,23
Bus Line,23
Church,21
Pharmacy,21
Shopping Mall,20
Building,17
Asian Restaurant,17
Liquor Store,17
Women's Store,16
Post Office,16
Fast Food Restaurant,16
Grocery Store,16
Gym,15
Cosmetics Shop,15
Coffee Shop,14
School,13
Electronics Store,12
Chinese Restaurant,12
Pet Store,12
Supermarket,12
Jewelry Store,12
Indian Restaurant,11
Italian Restaurant,11
Gym / Fitness Center,11
General Entertainment,11
Spa,10
Clothing Store,10
Australian Restaurant,9
Shoe Store,9
Department Store,9
Optical Shop,9
Dentist's Office,9
Sporting Goods Shop,9
Housing Development,9
Government Building,9
Pub,8
Sushi Restaurant,8
Trail,8
Dog Run,8
Deli / Bodega,8
Dessert Shop,7
Paper / Office Supplies Store,7
Gift Shop,7
Nail Salon,7
Thrift / Vintage Store,7
Bar,7
Sandwich Place,7
Hardware Store,7
Butcher,7
Furniture / Home Store,7
Soccer Field,7
General College & University,6
Mobile Phone Shop,6
Thai Restaurant,6
Fried Chicken Joint,6
General Travel,6
Men's Store,6
Real Estate Office,6
Arcade,5
Massage Studio,5
Farm,5
Car Wash,5
Other Great Outdoors,5
Factory,5
Discount Store,5
High School,5
Ice Cream Shop,5
Medical Lab,5
Japanese Restaurant,5
Burger Joint,5
Bowling Alley,5
Restaurant,5
Field,5
Non-Profit,5
BBQ Joint,5
Residential Building (Apartment / Condo),5
Flower Shop,4
Laundry Service,4
Fish & Chips Shop,4
Event Space,4
Lingerie Store,4
Yoga Studio,4
Tennis Court,4
Boutique,4
Bike Shop,4
Bookstore,4
Stables,4
College Library,4
College Classroom,4
Snack Place,3
Lake,3
Garden Center,3
Garden,3
Moving Target,3
Juice Bar,3
Food & Drink Shop,3
Hobby Shop,3
Sports Club,3
Big Box Store,3
Football Stadium,3
Student Center,3
Hospital,3
Sports Bar,3
Skate Park,3
Bus Stop,3
Veterinarian,3
Nursery School,3
Daycare,3
Donut Shop,3
Middle School,3
Credit Union,3
Elementary School,3
Candy Store,3
Video Store,3
Martial Arts Dojo,3
Cocktail Bar,3
Lounge,3
Cemetery,3
Fruit & Vegetable Store,3
Beach,2
Arts & Crafts Store,2
Athletics & Sports,2
Basketball Stadium,2
Funeral Home,2
Auto Garage,2
American Restaurant,2
Diner,2
Boat or Ferry,2
Food Truck,2
Food Court,2
Breakfast Spot,2
Flea Market,2
Fish Market,2
Bridal Shop,2
Farmers Market,2
Chiropractor,2
College Academic Building,2
Community Center,2
Convenience Store,2
Design Studio,2
Coworking Space,2
Accessories Store,2
Recycling Facility,2
Korean Restaurant,2
Pool,2
Theater,2
Tattoo Parlor,2
Scenic Lookout,2
Market,2
Seafood Restaurant,2
Mexican Restaurant,2
Multiplex,2
Photography Lab,2
Performing Arts Venue,2
Nightlife Spot,2
Noodle House,2
Other Nightlife,2
Outdoor Supply Store,2
Parking,2
Toy / Game Store,2
Smoke Shop,2
Vietnamese Restaurant,2
Karaoke Bar,2
Gourmet Shop,2
Trade School,2
Rock Club,2
Health & Beauty Service,2
Video Game Store,2
Kids Store,2
River,2
Health Food Store,2
Campground,1
Rehab Center,1
Child Care Service,1
Cheese Shop,1
Bubble Tea Shop,1
Shoe Repair,1
Ski Area,1
Shopping Plaza,1
Casino,1
Sculpture Garden,1
Business Service,1
Russian Restaurant,1
Salad Place,1
Bridge,1
Camera Store,1
German Restaurant,1
Social Club,1
Southern / Soul Food Restaurant,1
Winery,1
Aquarium,1
Wine Bar,1
Art Gallery,1
Assisted Living,1
Vegetarian / Vegan Restaurant,1
Turkish Restaurant,1
Auto Workshop,1
Tourist Information Center,1
Temple,1
Tech Startup,1
Taco Place,1
Bed & Breakfast,1
Betting Shop,1
Swim School,1
Surf Spot,1
Strip Club,1
Record Shop,1
Spiritual Center,1
Steakhouse,1
College Arts Building,1
City Hall,1
Laboratory,1
Dumpling Restaurant,1
Meeting Room,1
Medical Supply Store,1
Malay Restaurant,1
Lottery Retailer,1
Locksmith,1
Lighting Store,1
Financial or Legal Service,1
Fire Station,1
Law School,1
Kingdom Hall,1
Racetrack,1
Indie Movie Theater,1
IT Services,1
Hotel Bar,1
Frozen Yogurt Shop,1
Hookah Bar,1
History Museum,1
Gaming Cafe,1
Halal Restaurant,1
Gym Pool,1
Gastropub,1
Military Base,1
Movie Theater,1
Music Venue,1
Nature Preserve,1
Club House,1
Public Art,1
Professional & Other Places,1
College & University,1
Preschool,1
College Administrative Building,1
Golf Course,1
College Auditorium,1
College Communications Building,1
Police Station,1
College Technology Building,1
Comedy Club,1
Plaza,1
Community College,1
Concert Hall,1
Piano Bar,1
Convention Center,1
Pawn Shop,1
Creperie,1
Cupcake Shop,1
Newsstand,1
Hot Dog Joint,1
