,PremisesName,Address,City,PostalCode,Latitude,Longitude,MachineCount,MeshBlockCode,CityCode,StateCode,State,LgaCode,LgaName,PostalCodePopulation,PostalCodeAvgTaxableIncome,PostalCodeRankTaxableIncome
0,Blue Gums Hotel,"345 Hancock Rd, Fairview Park SA 5126, Australia",Fairview Park,5126,-34.8004605,138.7178448,40,40184140000,40424,4,South Australia,47700,Tea Tree Gully (C),4375,51125.0,135
1,Campania Sports And Social Club,"5 Famechon Cres, Modbury North SA 5092, Australia",Modbury North,5092,-34.8192553,138.6821715,20,40180970000,40893,4,South Australia,47700,Tea Tree Gully (C),9862,47216.0,195
2,Clovercrest Hotel Motel,"450 Montague Rd, Modbury North SA 5092, Australia",Modbury North,5092,-34.8284386,138.673921,40,40180970000,40893,4,South Australia,47700,Tea Tree Gully (C),9862,47216.0,195
3,Golden Grove Tavern,"Golden Grove Rd, Surrey Downs SA 5126, Australia",Surrey Downs,5126,-34.8059249,138.7011264,40,40181941000,41396,4,South Australia,47700,Tea Tree Gully (C),4375,51125.0,135
4,Highbury Hotel,"1017 Lower North East Rd, Highbury SA 5089, Australia",Highbury,5089,-34.8521997,138.7019131,40,40184360000,40581,4,South Australia,47700,Tea Tree Gully (C),4275,54869.0,87
5,Modbury Plaza Hotel,"989 North East Road, Modbury SA 5092, Australia",Modbury,5092,-34.8311448,138.6882188,40,40188841000,40891,4,South Australia,47700,Tea Tree Gully (C),9862,47216.0,195
6,Paradise Hotel,"700 Lower North East Rd, Paradise SA 5075, Australia",Paradise,5075,-34.8719823,138.6718299,40,40023650000,41090,4,South Australia,40910,Campbelltown (C),6185,49424.0,156
7,Rezz,"20 Hamilton Terrace, Newton SA 5074, Australia",Newton,5074,-34.876017,138.6904698,40,40023600000,41020,4,South Australia,40910,Campbelltown (C),7045,48149.0,185
8,Tea Tree Gully Hotel,"1349 North East Road, Tea Tree Gully SA 5091, Australia",Tea Tree Gully,5091,-34.8211635,138.730202,40,40184060000,41418,4,South Australia,47700,Tea Tree Gully (C),4617,51939.0,118
9,The Valley Inn,"1210 Grand Jct Rd, Hope Valley SA 5090, Australia",Hope Valley,5090,-34.8435137,138.6986971,40,40188900000,40601,4,South Australia,47700,Tea Tree Gully (C),4135,45713.0,227
10,Village Tavern,"The Golden Way &, The Grove Way, Golden Grove SA 5125, Australia",Golden Grove,5125,-34.7898718,138.696371,40,40184101000,40511,4,South Australia,47700,Tea Tree Gully (C),11733,56373.0,75
