,Id,Premises,Latitude,Longitude,Address
0,12e844fe8d106a4452fee040478299f29dbc8d53,Westfield Tea Tree Plaza,-34.83073089999999,138.6924417,"976 North East Road, Modbury"
1,791966865f09a661584c45ead005fc6b1623bea0,Newton Village,-34.8858763,138.6897311,"299 Montacute Road, Newton"
2,390d135eadda064ed581f3b956961339ca374c6d,Newton Central,-34.87731649999999,138.67457,"84 Gorge Road, Newton"
4,1540af67b045a09e8c739030cc75b963b8274c41,Dernancourt Village Shopping Centre,-34.8621138,138.6827892,"832-840 Lower North East Road, Dernancourt"
7,736a4320dc2073c58e522bd4c715e9515f8876a8,Mercury Plaza,-34.8766075,138.67586,"94-96 Gorge Road, Newton"
9,4027c7e8033b96243f51ae04f7a4e1ca289d9b33,Tee Tree Plaza,-34.843,138.702,Hope Valley
10,42f1aee681a0b3449204d9b94e9ce98ac47bca59,Campbelltown Shopping Centre,-34.8783784,138.6637463,Campbelltown
11,e96063f8eeea0c53e5f4e70010f49b8168dde7ce,Windsor Gardens Village Shopping,-34.8615486,138.6622071,"1 Longview Road, Windsor Gardens"
12,da76a29285ff310b41ed2097399a1a11af2aff9f,Modbury Triangle Shopping Centre,-34.832814,138.6860257,"954 North East Road, Modbury"
13,7624caa570eecabcd7fd555e7a8046cbd1c09817,The Junction Shopping Centre,-34.8448211,138.6619962,"901 Grand Junction Road, Valley View"
16,13986368a84e4a870231da82b9eef68726be028f,Gilles Plains Shopping Centre,-34.8557606,138.6550792,"575 North East Road, Gilles Plains"
17,ed6220495e0d8817a4d7e3f77f6e2ea3c4e36d87,Pelican Plaza,-34.8272879,138.6944085,"1007 North East Road, Modbury"
2,e746005cb24b01baaa81d19694834398c5bb9be1,Glynburn Plaza,-34.9030327,138.6570431,"161-167 Glynburn Road, Firle"
3,e64407e82d75076a97820c2dcc114bcb6adbbdea,Northgate Shopping Centre,-34.85709699999999,138.6352866,"211 Folland Avenue, Northgate"
4,353fc558ede0a9e3a3e1c0d769faa5f0a88fb03d,Avenues Shopping Centre,-34.9098259,138.6288149,"114 Payneham Road, Stepney"
6,c2b588f90155d342b3a8f8bed59c0c1cd407f788,Marden Shopping Centre,-34.8954762,138.63832,"1 Lower Portrush Road, Marden"
13,10d3b6af1456542e40b639804f2cfa147f0734d6,Tripodi'S Plaza,-34.9015049,138.6569429,"139 Glynburn Road, Glynde"
14,011d4efa8333eef51e9ab584f0d575efd6d8143e,Greenacres Shopping Centre,-34.87056630000001,138.6350169,"132 Muller Road, Greenacres"
17,5b013e3d5958c8ba20efcca169387af3df4f6414,Firle Plaza,-34.9049972,138.6564763,"171 Glynburn Road, Firle"
18,d942fe2a2041296ce4a08d18b8d56882b085a736,Northgate Village,-34.8570072,138.6350859,Northgate
13,40e85a9c6bc435b2989838bdca44e0723ef0ba84,Erindale Shopping Centre,-34.9255243,138.6626959,"Kensington Road, Kensington Gardens"
14,c3c4270c219db34c29251bf52ebd8d2a37a537fa,Wattle Park Shopping Centre,-34.9247079,138.6758165,"9 Yeltana Avenue, Wattle Park"
18,fd9c216eb277f138fae3661dd3ef862d5f921a9a,Marryatville Shopping Centre,-34.927339,138.6506479,"244-246 Kensington Road, Leabrook"
5,73571861e5c21a50e3f78fb9c460b412212d9ea3,Clovercrest Village,-34.82911959999999,138.6730274,"429 Montague Road, Modbury"
0,8a7a6f7118289294acf0070cee984ec053a0d9ef,Burnside Village,-34.9411111,138.6413889,"447 Portrush Road, Glenside"
12,6909522909bdece160948852557de62bc779198f,Norwood Place,-34.9207235,138.6355192,"161 The Parade, Norwood"
19,19d8830fcea92fdcbef8d173c7469bf0a5e3522b,Collinswood Shopping Centre,-34.88982279999999,138.6121133,"31 North East Road, Collinswood"
2,594ee94ad3b026ed95e27d7f07bb90ef5055b93e,The Grove Shopping Centre,-34.79077230000001,138.6941893,"Lot 1037 The Golden Way, Golden Grove"
4,e520578d4a21f9e6914c74e49d3e1fd3d9f1f79a,St Agnes Shopping Centre,-34.8216667,138.7166667,"1244 North East Road, Saint Agnes"
8,468d05c895af0f95c19c677cdddfaf676deec984,Surrey Downs Shopping Centre,-34.8055906,138.7027426,"Surrey Downs Sc, 246-264 Grenfell Road, Surrey Downs"
12,7b11663e7db38caf1cf15f6a3bb071fd62e515e6,Sunnybrook Shopping Centre,-34.7997132,138.6864918,"Cnr The Golden Way &, Sunnybrook Drive, Wynn Vale"
15,f9d0fa146d635d2ab0856d316ed2fc112c112383,Highland Village Shopping Centre,-34.7706578,138.7064786,"222 Target Hill Road, Greenwith"
14,8c4f65733e2d2d0c6178eb843b39b14de947d65f,Para Vista Shopping Centre,-34.8195298,138.6619326,"296-306 Nelson Road, Para Vista"
16,5258da9cbfc3a67f3920df9fc8ce64ad0624a8a9,Ingle Farm Shopping Centre,-34.8290767,138.6481509,"Cnr Walkleys & Montague Rds, Ingle Farm"
18,95d65affd8cef4217a641b35fc820f89be5f2cd3,Para Hills Shopping Centre,-34.8092753,138.6528692,"1 Wilkinson Road, Para Hills"
